BRC code|species|fam|famA|OrdA|NS|CS|RS|Chg|Hght|Len|P1|P2|LF1|LF2|W|Clone1|Clone2|E1|E2|C|NBI|NEur|SBI|SEur|Origin|GB|IR|CI|Tjan|Tjul|Prec|Co|Br Habitats|L|F|R|N|S|Source for max height|Comment on life form|Comment on clonality|Comment on N and S limits in Europe
0920   260|ceratochloa_carinata|Poac|Poac|Poal|AN|||2.09|80.0||p||hc||h|0gr|||||||||Am4|183.0|1.0|2.0|3.8|16.1|744.0||3, 4|8.0|5.0|6.0|6.0|0.0|Stace (1991)|||
0920   261|ceratochloa_cathartica|Poac|Poac|Poal|AN|||0.63|100.0||p||hc||h|0gr|||||||||Am, SAm|184.0|0.0|9.0|4.2|16.1|796.0||3, 4|7.0|4.0|5.0|5.0|0.0|Stace (1991)|||
0920   471|ceratophyllum_demersum|Cera|Cera|Cera|N||n|0.87||100.0|p||Hy||h|Irreg||8|6||0.0|>65|0.0|<45||927.0|62.0|1.0|3.7|15.8|770.0||13|7.0|12.0|7.0|7.0|1.0|Stace (1997)|||
0920   472|ceratophyllum_submersum|Cera|Cera|Cera|N||n|0.39||100.0|p||Hy||h|Irreg||7|4||0.0|55-60|0.0|<45||208.0|3.0|5.0|3.9|16.3|705.0||13|7.0|12.0|8.0|8.0|2.0|as C. demersum|||
0910   473|asplenium_ceterach|Aspl|Aspl|Poly|N||n|-0.3|20.0||p||hc||h|0||9|2||0.0|55-60|0.0|<45||1093.0|787.0|9.0|4.0|15.0|1061.0||3, 16|7.0|3.0|8.0|1.0|0.0|Hutchinson & Thomas (1996)|||
0920   474|chaenorhinum_minus|Scro|Plan|Lami|AR|||-0.63|25.0||a||Th||h|0||7|3|||||||1468.0|170.0|0.0|3.6|15.3|899.0||3, 4, 17|8.0|4.0|7.0|4.0|0.0|CTW (1962)|||
0920   476|chaerophyllum_temulum|Apia|Apia|Apia|N||n|-0.64|100.0||b||hc||h|0||7|3||1.0|55-60|0.0|<45||1786.0|0.0|5.0|3.6|15.4|890.0||3|6.0|5.0|7.0|7.0|0.0|Stace (1997)|||
0920  2398|chamaecyparis_lawsoniana|Cupr|Cupr|Pina|AN||||4100.0||p||Ph||w|0|||||||||Am4|827.0|46.0|4.0|3.6|15.3|965.0||17|5.0|5.0|6.0|4.0|0.0|Stace (1991)|||
0920   119|chamaemelum_nobile|Aste|Aste|Aste|N||n|-0.92|30.0||p||hc||h|Node2||8|2||1.0|55-60|0.0|<45||308.0|115.0|13.0|4.6|15.7|990.0||8|8.0|7.0|5.0|5.0|0.0|Stace (1997) |||
0920   477|chamerion_angustifolium|Onag|Onag|Myrt|N||n|-0.01|150.0||p||Gn|hc|h|Root||5|6||0.0|>65|0.0|<45||2603.0|650.0|10.0|3.4|14.5|1075.0||3, 17|6.0|5.0|6.0|5.0|0.0|Stace (1997)|mainly geophyte but also sprouts from stem bases (Biol. Flora, 1980)|Root-budding and often spreading 1m per year (Biol. Flora 1980)|
0920   480|chelidonium_majus|Papa|Papa|Ranu|AR|||-0.72|90.0||p||hc||h|0||7|5|||||||1662.0|220.0|9.0|3.7|15.3|905.0||3|6.0|5.0|8.0|7.0|0.0|CTW (1962)|||
0920   482|chenopodium_album|Chen|Amar|Cary|N||n||100.0||a||Th||h|0||6|5||0.0|>65|0.0|<45||2340.0|782.0|14.0|3.7|14.8|1018.0||4|7.0|5.0|7.0|7.0|1.0|CTW (1962)|||
0920   481|chenopodium_album_agg.|Chen|Amar|Cary|N||n|-0.73|100.0||a||Th||h|0||6|5|||||||2340.0|782.0|14.0|3.7|14.8|1018.0||4|7.0|5.0|7.0|7.0|1.0|as Chenop album s. str.|||
0920   484|chenopodium_bonus_henricus|Chen|Amar|Cary|AR|||-1.79|50.0||p||hc||h|0||5|3||||||Eur|1363.0|81.0|1.0|3.4|15.2|883.0||3|8.0|5.0|7.0|8.0|0.0|Stace (1997)|||
0920   485|chenopodium_chenopodioides|Chen|Amar|Cary|N||s|-0.17|30.0||a||Th||h|0||7|4||0.0|55-60|0.0|<45||39.0|0.0|2.0|4.2|16.7|612.0|Co|6, 21|8.0|7.0|7.0|8.0|4.0|Stace (1997)|||
0920   487|chenopodium_ficifolium|Chen|Amar|Cary|AR|||1.9|90.0||a||Th||h|0||7|4|||||||745.0|11.0|7.0|3.9|16.1|745.0||4|7.0|6.0|6.0|7.0|0.0|CTW (1962)|||
0920   488|chenopodium_glaucum|Chen|Amar|Cary|AR|||-1.32|50.0||a||Th||h|0||7|6|||||||157.0|2.0|2.0|4.0|16.1|724.0||17|8.0|6.0|7.0|9.0|3.0|Stace (1997)|||
0920   490|chenopodium_hybridum|Chen|Amar|Cary|AR|||-0.32|100.0||a||Th||h|0||7|6|||||||285.0|0.0|1.0|3.7|16.2|695.0||4|7.0|4.0|7.0|7.0|0.0|Stace (1997)|||
0920   491|chenopodium_murale|Chen|Amar|Cary|AR|||-1.63|100.0||a||Th||h|0||8|4|||||||412.0|8.0|13.0|4.2|16.0|797.0||4|8.0|6.0|6.0|7.0|0.0|"Stace (1997) ""similar to C. urbicum"""|||
0920   493|chenopodium_polyspermum|Chen|Amar|Cary|AR|||0.62|50.0||a||Th||h|0||7|4|||||||998.0|8.0|12.0|3.9|16.0|794.0||4|7.0|6.0|7.0|8.0|0.0|"half length in Stace (1997) ""decumbent to ascending"""|||
0920   496|chenopodium_rubrum|Chen|Amar|Cary|N||n|1.0|70.0||a||Th||h|0||7|4||0.0|>65|0.0|<45||1267.0|142.0|8.0|3.8|15.7|800.0||4, 11|7.0|7.0|7.0|8.0|1.0|CTW (1962)|||
0920   498|chenopodium_urbicum|Chen|Amar|Cary|AR|||-4.57|100.0||a||Th||h|0||7|4|||||||239.0|1.0|0.0|4.0|16.1|762.0||4|7.0|5.0|7.0|7.0|0.0|Stace (1997)|||
0920   500|chenopodium_vulvaria|Chen|Amar|Cary|AR|VU||-2.6|35.0||a||Th||h|0||8|4|||||||180.0|0.0|6.0|4.1|16.1|752.0|Co|18, 19|7.0|4.0|7.0|9.0|0.0|CTW (1962)|||
0920   504|glebionis_segetum|Aste|Aste|Aste|AR|||-1.8|60.0||a||Th||h|0||8|3|||||||1682.0|471.0|10.0|3.8|14.8|1022.0||4|7.0|5.0|6.0|5.0|0.0|Stace (1997) |||
0920   505|chrysosplenium_alternifolium|Saxi|Saxi|Saxi|N||n|0.62|20.0||p||hc||h|Stol2||3|6||0.0|>65|0.0|<45||790.0|0.0|0.0|2.8|14.4|1042.0||11, 14|5.0|8.0|6.0|6.0|0.0|Stace (1991)|||
0920   506|chrysosplenium_oppositifolium|Saxi|Saxi|Saxi|N||n|-0.36|15.0||p||Ch|hc|h|Node2||7|2||0.0|60-65|0.0|<45||2067.0|688.0|6.0|3.4|14.3|1168.0||1, 14|5.0|9.0|5.0|5.0|0.0|Stace (1991)|genuinely intermediate, perhaps nearer chamaephyte||
0920   507|cicendia_filiformis|Gent|Gent|Gent|N||s|-0.7|10.0||a||Th||h|0||9|2||0.0|55-60|0.0|<45||66.0|37.0|5.0|5.4|15.6|1063.0||10|9.0|8.0|3.0|2.0|0.0|Stace (1997)|||
0920   508|cicerbita_alpina|Aste|Aste|Aste|N|VU|r||130.0||p||hc||h|Rhiz2||4|3||0.0|>65|0.0|<45||4.0|0.0|0.0|-1.3|10.5|1375.0||15, 16|7.0|6.0|6.0|6.0|0.0|Stace (1991)||CTW imply that only C. macrophylla is far-creeping, but this is probably not true|
0920  2381|cicerbita_macrophylla|Aste|Aste|Aste|AN||||175.0||p||hc||h|Rhiz2|||||||||Eur|724.0|42.0|0.0|3.3|14.9|920.0||3, 17|7.0|5.0|6.0|6.0|0.0|average of CTW (1962) and Stace (1997)|||
0920   509|cichorium_intybus|Aste|Aste|Aste|AR|||-1.27|110.0||p||hc||h|0||8|4|||||||1312.0|60.0|10.0|3.8|15.5|840.0||3|8.0|4.0|7.0|5.0|0.0|average of CTW (1962) and Stace (1997)|||
0920   510|cicuta_virosa|Apia|Apia|Apia|N||s|0.55|150.0||p||Hy||h|0||5|5|c|0.0|>65|0.0|<45||139.0|139.0|0.0|3.5|14.8|926.0||11, 13, 14|7.0|10.0|7.0|5.0|0.0|Stace (1997)|||
0920   511|circaea_alpina|Onag|Onag|Myrt|N||s||30.0||p||Gn||h|Rhiz2||4|6||0.0|>65|0.0|<45||40.0|0.0|0.0|2.2|13.0|1836.0||1|4.0|7.0|5.0|5.0|0.0|Stace (1997)|||
0920   512|circaea_alpina_x_lutetiana_(c._x_intermedia)|Onag|Onag|Myrt|NH||n|0.48|45.0||p||Gn||h|Rhiz2||7|3|||||||570.0|49.0|0.0|2.7|13.4|1477.0||1|4.0|6.0|6.0|6.0|0.0|Stace (1991)|||
0920   513|circaea_lutetiana|Onag|Onag|Myrt|N||n|-0.38|60.0||p||Gn||h|Rhiz2||7|3||0.0|60-65|0.0|<45||2053.0|748.0|8.0|3.7|14.9|1041.0||1|4.0|6.0|7.0|6.0|0.0|Stace (1997)|||
0920   514|cirsium_acaule|Aste|Aste|Aste|N||n|-0.52|15.0||p||hc||h|Rhiz1||7|3||0.0|55-60|0.0|<45||734.0|0.0|3.0|3.7|16.1|742.0||7|9.0|4.0|8.0|3.0|0.0|CTW (1962) - leaf length;  stem length rarely exceeding 10 cm (Stace 1997)|||
0920   515|cirsium_arvense|Aste|Aste|Aste|N||n|0.47|120.0||p||Gn||h|Root||7|5||0.0|>65|0.0|<45||2736.0|968.0|14.0|3.6|14.5|1092.0||3, 4, 5, 6|8.0|6.0|7.0|6.0|0.0|Stace (1991)|||
0920   516|cirsium_dissectum|Aste|Aste|Aste|N||n|-0.14|60.0||p||hc||h|Rhiz2||7|1||1.0|55-60|0.0|<45||539.0|553.0|2.0|4.0|15.0|1043.0||11|8.0|8.0|4.0|2.0|0.0|average of Butcher (1961) and Stace (1997)|||
0920   517|cirsium_eriophorum|Aste|Aste|Aste|N||n|-0.08|150.0||b||hc||h|0||7|3||1.0|50-55|0.0|<45||447.0|0.0|0.0|3.6|16.0|745.0||7|8.0|4.0|8.0|5.0|0.0|Stace (1997) |||
0920   518|cirsium_heterophyllum|Aste|Aste|Aste|N||n|-0.44|120.0||p||hc||h|Rhiz1||4|4||0.0|>65|0.0|<45||761.0|1.0|0.0|2.0|12.9|1476.0||6, 16|7.0|6.0|6.0|5.0|0.0|Stace (1997) |||
0920   520|cirsium_palustre|Aste|Aste|Aste|N||n|0.15|175.0||b||hc||h|0||5|4||0.0|>65|0.0|<45||2697.0|955.0|12.0|3.5|14.5|1105.0||11, 14|7.0|8.0|5.0|4.0|0.0|average of CTW (1962) and Stace (1997)|||
0920   521|cirsium_tuberosum|Aste|Aste|Aste|N|VU|r|0.41|80.0||p||hc||h|0||8|2||0.0|50-55|0.0|<45||17.0|0.0|0.0|3.9|16.1|882.0||7|8.0|6.0|8.0|3.0|0.0|average of CTW and Sell (draft)|hemicryptophyte with tuberous roots;  comparable to Oenanthe pimpinelloides||
0920   522|cirsium_vulgare|Aste|Aste|Aste|N||n|0.8|150.0||b||hc||h|0||7|4||0.0|>65|0.0|<45||2789.0|980.0|14.0|3.5|14.5|1103.0||3, 5, 6, 7|7.0|5.0|6.0|6.0|0.0|Stace (1997) |||
0920   523|cladium_mariscus|Cype|Cype|Poal|N||n|0.11|200.0||p||Hy|Gn|h|Rhiz1||8|4||0.0|60-65|0.0|<45||232.0|258.0|1.0|4.1|14.7|1085.0||11|8.0|10.0|8.0|4.0|0.0|Sell & Murrell (1996)|Non-flowering meristems are all below ground (P & C 1994)||
0920   525|claytonia_perfoliata|Port|Port|Cary|AN|||0.5|30.0||a||Th||h|0|||||||||Am4|704.0|6.0|10.0|3.6|15.6|768.0||4, 17, 19|6.0|6.0|5.0|5.0|0.0|Stace (1997)|||
0920   524|claytonia_sibirica|Port|Port|Cary|AN|||1.28|40.0||a|p|Th|hc|h|0|||||||||As2, Am4|1166.0|25.0|6.0|3.2|14.4|1092.0||1, 3|5.0|7.0|6.0|6.0|0.0|Stace (1997)|Butcher (1961) says annual, but Stace and CTW note that can be perennial.  It would then be a semi-rosette hemicryptophyte.||
0920   528|clematis_vitalba|Ranu|Ranu|Ranu|N||n|0.0|3000.0||p||Ph||w|0||7|3||0.0|50-55|0.0|<45||954.0|0.0|0.0|4.0|16.0|815.0||3|6.0|4.0|8.0|5.0|0.0|Stace (1991)|||
0920    12|clinopodium_acinos|Lami|Lami|Lami|N||n|-1.59|22.0||a||Th||h|0||7|3||0.0|60-65|0.0|<45||551.0|0.0|0.0|3.6|15.8|778.0||16|8.0|2.0|8.0|1.0|0.0|average of CTW (1962) and Stace (1997)|||
0920   296|clinopodium_ascendens|Lami|Lami|Lami|N||n|0.04|60.0||p||hc||h|Rhiz1||7|3||1.0|50-55|0.0|<45||657.0|64.0|2.0|4.2|15.9|854.0||3, 16|7.0|5.0|7.0|6.0|0.0|Stace (1997)|||
0920   298|clinopodium_calamintha|Lami|Lami|Lami|N||s|-0.31|60.0||p||hc||h|Rhiz2||9|2||1.0|50-55|0.0|<45||129.0|0.0|4.0|3.7|16.4|641.0||3|8.0|3.0|9.0|3.0|0.0|Stace (1997)|||
0920   297|clinopodium_menthifolium|Lami|Lami|Lami|N|EN|r||60.0||p||hc||h|Rhiz1||7|3||0.0|50-55|0.0|<45||1.0|0.0|0.0|4.8|16.3|844.0||1|5.0|5.0|8.0|5.0|0.0|Stace (1997)||CTW says that it is creeping;  assumed to be short-creeping|
0920   530|clinopodium_vulgare|Lami|Lami|Lami|N||n|-0.67|77.0||p||hc||h|Rhiz1||7|6||0.0|60-65|0.0|<45||1317.0|0.0|2.0|3.5|15.4|880.0||7|7.0|4.0|7.0|4.0|0.0|average of CTW (1962) and Stace (1997)|||
0920   532|cochlearia_anglica|Bras|Bras|Bras|N||n|0.02|40.0||b|p|hc||h|0||7|1||0.0|55-60|0.0|<45||297.0|95.0|0.0|4.5|15.6|917.0|Co|21|8.0|8.0|7.0|6.0|6.0|Rich (1991)|||
0920  3902|cochlearia_officinalis|Bras|Bras|Bras|NE|DD|r||20.0||p||hc||h|0||4|1|||||||2.0|0.0|0.0|4.4|12.8|1830.0|Co|18|8.0|6.0|7.0|5.0|4.0|Rich (1991)|||
0920   533|cochlearia_danica|Bras|Bras|Bras|N||n|3.31|25.0||a||Th||h|0||7|1||0.0|60-65|0.0|<45||588.0|138.0|14.0|4.5|14.9|1056.0|Co|3, 18|9.0|6.0|7.0|5.0|4.0|Rich (1991)|||
0920   534|cochlearia_micacea|Bras|Bras|Bras|NE||s||10.0||b|p|hc||h|0||1|1|||||||32.0|0.0|0.0|0.2|11.4|2221.0||15|8.0|8.0|7.0|2.0|0.0|Rich (1991)|basic design is a semi-rosette hemicryptophyte||
0920   535|cochlearia_officinalis|Bras|Bras|Bras|N||n||30.0||p||hc||h|0||3|6||0.0|>65|0.0|45-50||1051.0|279.0|2.0|3.9|14.0|1246.0|Co|18, 21|8.0|6.0|7.0|5.0|3.0|Rich (1991)|semi-rosette hemicryptophyte||
0920  2547|cochlearia_officinalis_sens.lat.|Bras|Bras|Bras|N||n|-0.18|30.0||b|p|hc||h|0||3|6|||||||1245.0|308.0|3.0|3.7|13.9|1287.0||18|8.0|7.0|7.0|4.0|2.0|as C. officinalis|semi-rosette hemicryptophyte||
0920  5422|cochlearia_pyrenaica|Bras|Bras|Bras|N||s||30.0||b|p|hc||h|0||1|3||1.0|55-60|0.0|<45||124.0|5.0|0.0|1.5|12.9|1567.0||11, 16|8.0|7.0|8.0|3.0|0.0|Rich (1991)|||
0920   537|coeloglossum_viride|Orch|Orch|Aspa|N||n|-1.34|22.0||p||Gn||h|0||4|6||0.0|>65|0.0|<45||964.0|214.0|0.0|3.2|14.1|1148.0||7|7.0|4.0|6.0|2.0|0.0|average of CTW (1962) & Stace (1997)|||
0920  5396|coincya_monensis|Bras|Bras|Bras|N||s|0.43|50.0||b||hc||h|0||8|2||1.0|55-60|0.0|<45||61.0|0.0|3.0|4.2|14.8|1037.0||3, 17, 19|9.0|4.0|6.0|3.0|0.0|Rich (1991)|||
0920  1690|coincya_wrightii|Bras|Bras|Bras|NE|VU|r||90.0||p||Ch|hc|h|0||7|1|||||||1.0|0.0|0.0|5.8|15.7|986.0|Co|18|9.0|4.0|4.0|3.0|0.0|Rich (1991)|has much the character of a semi-rosette hemicryptophyte, but according to Rich (1991) stem is woody below||
0920   538|colchicum_autumnale|Lili|Colc|Lili|N||n|-0.14|35.0||p||Gn||h|0tb||7|3||1.0|50-55|0.0|<45||301.0|10.0|0.0|3.6|15.8|809.0||6|6.0|6.0|6.0|4.0|0.0|Sell & Murrell (1996) - leaf length|||
0920   539|colutea_arborescens|Faba|Faba|Faba|AN||||400.0||p||Ph||w|0|||||||||Eur|166.0|3.0|0.0|3.7|16.3|671.0||3, 17|7.0|4.0|8.0|3.0|0.0|Stace (1997)|||
0920   540|conium_maculatum|Apia|Apia|Apia|AR|||-0.02|250.0||b||hc||h|0||8|4|||||||1847.0|476.0|13.0|3.9|15.2|915.0||3|8.0|5.0|7.0|8.0|0.0|Stace (1997)|||
0920   541|conopodium_majus|Apia|Apia|Apia|N||n|-0.19|40.0||p||Gn||h|0||7|1||0.0|>65|0.0|<45||2520.0|755.0|7.0|3.5|14.5|1102.0||1, 6|6.0|5.0|5.0|5.0|0.0|Stace (1997)|||
0920   622|consolida_ajacis|Ranu|Ranu|Ranu|AN||||60.0||a||Th||h|0|||||||||Eur|360.0|4.0|7.0|3.8|16.2|703.0||3, 4, 17|8.0|4.0|8.0|4.0|0.0|CTW (1962)|||
0920   543|convallaria_majalis|Lili|Rusc|Aspa|N||n|0.25|25.0||p||Gn||h|Rhiz2||5|3||0.0|>65|0.0|<45||439.0|0.0|0.0|3.3|15.5|831.0||1, 7|5.0|5.0|6.0|5.0|0.0|Stace (1997) - this is also leaf length, average of CTW (1962) & Stace (1997)|||
0920   544|convolvulus_arvensis|Conv|Conv|Sola|N||n|-0.7|100.0||p||Gn||h|Rhiz2||8|4||0.0|60-65|0.0|<45||1841.0|435.0|14.0|3.8|15.2|929.0||3, 4|7.0|4.0|8.0|6.0|0.0|Stace (1997)|a true geophyte; disappears well below ground in winter|underground organs probably mainly rhizomes (CPE equivocates on this)|
0920   735|conyza_canadensis|Aste|Aste|Aste|AN|||1.12|100.0||a||Th||h|0|||||||||Am|1048.0|11.0|10.0|3.8|16.0|766.0||3, 4, 17, 19|7.0|4.0|7.0|6.0|0.0|CTW (1962)|||
0920  2633|conyza_sumatrensis|Aste|Aste|Aste|AN||||100.0||a||Th||h||||||||||SAm|154.0|1.0|12.0|4.2|16.5|716.0||3, 17|7.0|4.0|7.0|7.0|0.0|Stace (1997)|||
0920   545|corallorhiza_trifida|Orch|Orch|Aspa|N||s|0.61|22.0||p||Gn||h|0||4|6|c|0.0|>65|0.0|<45||102.0|0.0|0.0|2.5|13.5|956.0||1, 2|5.0|5.0|5.0|4.0|0.0|average of CTW (1962) & Stace (1997)|||
0920   546|coriandrum_sativum|Apia|Apia|Apia|AN||||50.0||a||Th||h|0|||||||||Eur?|201.0|2.0|3.0|3.9|16.0|763.0||3, 17|8.0|4.0|6.0|5.0|0.0|Stace (1997)|||
0920   548|cornus_sanguinea|Corn|Corn|Corn|N||n|-0.06|400.0||p||Ph||w|Root||7|3||0.0|60-65|0.0|<45||1179.0|52.0|1.0|3.7|15.8|810.0||1, 3|7.0|5.0|7.0|6.0|0.0|Stace (1997)|||
0920   549|cornus_sericea|Corn|Corn|Corn|AN||||300.0||p||Pn|Ph|w|0|Node1||||||||Am|421.0|111.0|0.0|3.5|15.0|936.0||1, 3, 17|6.0|7.0|5.0|6.0|0.0|Stace (1991)||Mode of spread apparently similar to that of Solanum dulcamara, but personal observation would be useful|
0920   478|cornus_suecica|Corn|Corn|Corn|N||n|-0.42|20.0||p||hc||h|Rhiz2||2|3||0.0|>65|0.0|50-55||218.0|0.0|0.0|0.9|11.6|1853.0||10, 15|6.0|6.0|1.0|2.0|0.0|Stace (1997)|||
0920   551|lepidium_didymum|Bras|Bras|Bras|AN|||1.77|18.0||a||Th||h|0|||||||||Unk|1284.0|315.0|14.0|4.1|15.5|921.0||4, 17|9.0|5.0|6.0|7.0|0.0|Rich (1991) - half stem length, procumbent|||
0920   552|lepidium_squamatum|Bras|Bras|Bras|AR|||0.33|25.0||a||Th||h|0||8|3|||||||1290.0|149.0|9.0|4.0|15.7|821.0||3, 4|7.0|5.0|7.0|7.0|0.0|Rich (1991), one half stem length because procumbent|||
0920   553|corrigiola_litoralis|Cary|Cary|Cary|N|CR|r|-0.96|25.0||a||Th||h|0||8|2||0.0|50-55|0.0|<45||2.0|0.0|0.0|6.2|16.0|1052.0|Co|19|8.0|7.0|5.0|5.0|0.0|Stace (1997)|||
0920   557|corylus_avellana|Betu|Betu|Faga|N||n|-0.54|600.0||p||Ph||w|0||7|3||0.0|>65|0.0|<45||2470.0|870.0|5.0|3.5|14.6|1094.0||1, 3|4.0|5.0|6.0|6.0|0.0|Stace (1991)|||
0920   558|corynephorus_canescens|Poac|Poac|Poal|N||r|0.01|32.0||p||hc||h|0gr||8|3||0.0|55-60|0.0|<45||22.0|0.0|3.0|4.1|16.2|649.0|Co|19|9.0|1.0|3.0|1.0|0.0|average of CTW (1962) & Stace (1997)|||
0920  2928|cotoneaster_bullatus|Rosa|Rosa|Rosa|AN||||400.0||p||Ph||w|0|||||||||As1|237.0|10.0|0.0|3.7|15.3|965.0||1, 3, 16, 17|7.0|4.0|7.0|4.0|0.0|Stace (1997)|||
0920   561|cotoneaster_cambricus|Rosa|Rosa|Rosa|AN|EN|||150.0||p||Pn||w|0||7|1||||||Eur|1.0|0.0|0.0|5.4|15.5|796.0||7, 16|8.0|3.0|7.0|2.0|0.0|Stace (1997)|||
0920   560|cotoneaster_horizontalis|Rosa|Rosa|Rosa|AN||||100.0||p||Pn||w|0|||||||||As1|855.0|63.0|2.0|3.8|15.5|933.0||3, 16, 17|8.0|3.0|8.0|4.0|0.0|Stace (1997)|||
0920   562|cotoneaster_integrifolius|Rosa|Rosa|Rosa|AN||||100.0||p||Pn||w|0|||||||||As1|537.0|103.0|2.0|3.9|14.7|1194.0||3, 17|7.0|3.0|7.0|4.0|0.0|Stace (1997)|||
0920  3313|cotoneaster_microphyllus_agg.|Rosa|Rosa|Rosa|AN|||1.54|100.0||p||Pn||w|0|||||||||As1|576.0|135.0|3.0|3.9|14.7|1174.0||3, 16, 17|7.0|3.0|7.0|4.0|0.0|Stace (1991), same as C. integrifolius|||
0920   563|cotoneaster_simonsii|Rosa|Rosa|Rosa|AN|||3.55|300.0||p||Pn|Ph|w|0|||||||||As1|973.0|122.0|5.0|3.7|14.9|1086.0||3, 10, 16, 17|6.0|5.0|6.0|4.0|0.0|Stace (1997)|||
0920   565|crambe_maritima|Bras|Bras|Bras|N||n|0.29|62.0||p||hc||h|0||7|3||0.0|60-65|0.0|<45||251.0|46.0|11.0|4.8|15.5|938.0|Co|19|9.0|5.0|8.0|7.0|3.0|average of Rich (1991) and Stace (1997)|basically hemicryptophyte;  root sprouts only when disturbed||
0920   566|crassula_aquatica|Cras|Cras|Saxi||VU|r||8.0||a||Hz||h|0|Node1|7|6|c|0.0|>65|0.0|45-50||2.0|0.0|0.0|3.2|14.0|1459.0||14|8.0|9.0|5.0|5.0|0.0|Butcher (1961) - stem height|||
0920  2423|crassula_helmsii|Cras|Cras|Saxi|AN||||10.0|30.0|p||Hy|Ch|h|Irreg|Node2||||||||Aus, NZ|604.0|8.0|8.0|3.8|15.8|826.0||13, 14|7.0|10.0|6.0|7.0|0.0|Stace (1991);  estimated canopy height (MOH)|||
0920   567|crassula_tillaea|Cras|Cras|Saxi|N||s|0.86|5.0||a||Th||h|0||9|2||1.0|50-55|0.0|<45||104.0|0.0|11.0|4.1|16.2|734.0||3|8.0|7.0|4.0|2.0|0.0|Stace (1997)|||
0920   570|crataegus_laevigata|Rosa|Rosa|Rosa|N||n|0.32|1000.0||p||Ph||w|0||7|3||0.0|55-60|0.0|<45||597.0|0.0|1.0|3.5|16.2|674.0||1|5.0|5.0|7.0|5.0|0.0|Stace (1991)|||
0920   569|crataegus_monogyna|Rosa|Rosa|Rosa|N||n|-0.76|1000.0||p||Ph||w|0||7|3||0.0|60-65|0.0|<45||2496.0|946.0|13.0|3.6|14.7|1073.0||1, 3|6.0|5.0|7.0|6.0|0.0|Stace (1991)|||
0920   571|crepis_biennis|Aste|Aste|Aste|N||n|-0.02|120.0||b||hc||h|0||7|3||0.0|55-60|0.0|<45||288.0|0.0|0.0|3.7|16.3|711.0||3, 6|8.0|5.0|7.0|6.0|0.0|Stace (1997) |||
0920   572|crepis_capillaris|Aste|Aste|Aste|N||n|-0.17|75.0||a|b|Th|hc|h|0||7|3||0.0|55-60|0.0|<45||2525.0|907.0|14.0|3.6|14.6|1074.0||7|7.0|4.0|7.0|4.0|0.0|Stace (1991)|Authors differ as to whether mainly annual or biennial;  CTW say usually annual||
0920   573|crepis_foetida|Aste|Aste|Aste|AR|EN|||60.0||b|a|hc|Th|h|0||8|4|||||||33.0|0.0|2.0|4.0|16.4|707.0|Co|19|9.0|4.0|6.0|3.0|0.0|Stace (1997) |"CTW & Stace say ""annual or biennial"";  Butcher says biennial"||
0920   574|crepis_mollis|Aste|Aste|Aste|N||r|-1.2|60.0||p||hc||h|0||7|3|c|0.0|55-60|0.0|<45||75.0|0.0|0.0|1.7|13.2|1079.0||7|8.0|5.0|7.0|5.0|0.0|Stace (1997) |||
0920   576|crepis_paludosa|Aste|Aste|Aste|N||n|-0.27|80.0||p||hc||h|0||5|3||0.0|>65|0.0|<45||1162.0|357.0|0.0|2.7|13.4|1334.0||11, 16|6.0|7.0|6.0|4.0|0.0|Stace (1997) |||
0920  4518|crepis_praemorsa|Aste|Aste|Aste|N|EN|r||60.0||p||hc||h|0||7|4|c|0.0|60-65|0.0|<45||1.0|0.0|0.0|1.7|13.3|1333.0||7|8.0|3.0|9.0|3.0|0.0|Stace (1997) |||
0920   578|crepis_vesicaria|Aste|Aste|Aste|AN|||0.6|80.0||b||hc||h|0|||||||||Eur|1227.0|302.0|14.0|4.1|15.7|858.0||3, 5, 6, 17|8.0|5.0|7.0|7.0|0.0|Stace (1991)|||
0920   579|crithmum_maritimum|Apia|Apia|Apia|N||n|0.23|45.0||p||hc||h|0||9|1||1.0|55-60|0.0|<45||301.0|138.0|14.0|5.1|15.4|1042.0|Co|18|9.0|6.0|7.0|5.0|5.0|Stace (1997)|||
0920   580|crocosmia_aurea_x_pottsii_(c._x_crocosmiiflora)|Irid|Irid|Aspa|AN|||3.11|60.0||p||Gn||h|Rhiz1|DRg||||||||Gard|1446.0|731.0|12.0|4.0|14.6|1129.0||1, 3, 17|7.0|6.0|4.0|4.0|0.0|Stace (1991)|||
0920   875|cruciata_laevipes|Rubi|Rubi|Gent|N||n|-0.77|60.0||p||hc||h|Rhiz2||7|4||1.0|55-60|0.0|<45||1475.0|0.0|1.0|3.2|15.2|892.0||6|6.0|5.0|7.0|5.0|0.0|Stace (1997)|||
0910   586|cryptogramma_crispa|Adia|Adia|Poly|N||n|-0.63|15.0||p||hc||h|0||4|3||0.0|>65|0.0|<45||466.0|23.0|0.0|1.8|12.9|1678.0||10, 15, 16|7.0|5.0|2.0|3.0|0.0|Hutchinson & Thomas (1996)|||
0920   589|cuscuta_epithymum|Cusc|Conv|Sola|N||n|-1.28|1.0||a||Th||h|Stol2||8|4||0.0|55-60|0.0|<45||494.0|27.0|12.0|4.3|15.9|846.0||10|7.0|6.0|2.0|2.0|0.0|CTW (1962) - but this is diameter of heads||anomalous;  an annual forming extensive clones but not rooting|
