,Name,Number,Value,Modifier,Notes,Subspecies
87,Normal method of propagation,5.52,seed and vegetative,-,-,
88,Seedbank type,5.53,long-term persistent,-,-,
89,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
90,Seedbank type,5.53,short-term persistent,-,-,
91,Seedbank type,5.53,transient,-,-,
92,Maximum seedbank density (m2),5.54,400,-,-,
93,Minimum seedbank density (m2),5.55,38,-,-,
94,Mean seedbank density (m2),5.56,164,-,-,
95,Flower colour,5.58,whitish,,,
96,Petal no,5.59,4,,,
97,Petal (sepal) size (cm),5.6,0.2,,,
98,Stigma number,5.61,1,,,
99,Sepal number,5.63,4,,,
100,Carpel/Style number,5.64,1,,,
101,Inflorescence type,5.65,spike,,"dense, terminal",
102,Physical defences on leaves,6.02,soft hairs,-,-,
103,Physical defences on stems,6.03,soft hairs,-,-,
104,Rarity Status,7.02,Present,,,
105,Change Index,7.03,-0.79,,,
106,Biome,7.04,Temperate,,,
107,Eastern Limit,7.05,Eurasian,,,
108,Continentality,7.06,Not continental,,,
109,Northern Limit in Britain,7.07,No,,,
110,"Northern European Limit (Lat,5C band)",7.08,>65,,,
111,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
112,Southern European Limit,7.1,No,,,
113,January mean temperature,7.11,3.5,,,
114,July mean temperature,7.12,16,,,
115,Annual precipitation,7.13,804,,,
116,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
117,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
118,Ellenberg Indicator: Light,7.14,8,,,
119,Ellenberg : Moisture,7.15,4,,,
120,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
121,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
122,Ellenberg: pH,7.16,7,,,
123,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
124,Ellenberg: pH,7.16,7,,Data calculated for Europe,
125,Ellenberg Indicator: Nitrogen,7.17,3,,,
126,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
127,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
128,Ellenberg Indicator: Salt,7.18,0,,,
129,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
130,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
131,Life Form: normal state,7.19,Hemicryptophyte,,,
132,Clonality: normal state,7.21,Rhizome shortly creeping,,,
133,Ellenberg: Temperature,7.23,6x,,Data calculated for the Czech Republic,
134,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
135,Ellenberg: Continetality,7.24,7,,Data calculated for Europe,
