,Name,Number,Value,Modifier,Notes,Subspecies
43,Leaf longevity: 1. type,3.22,aestival,-,-,
44,Leaf longevity: 2. number of months,3.23,2-6,-,-,
45,Root system,3.24,contractile,-,-,
46,Root system,3.24,fibrous,-,-,
47,Root system,3.24,tap root,-,-,
48,Root depth: 1. type,3.25,deep,-,-,
49,Root depth: 2. depth (cm),3.26,10-50,-,-,
50,Root persistence,3.3,>1,-,-,
51,Photosynthetic pathway,4.02,C3,-,-,
52,Heavy metal resistance,4.05,none,-,-,
53,Carnivory,4.06,does not kill insects,-,-,
54,Nutrition,4.07,autotrophic,-,-,
55,Response to drought,4.08,resists,-,-,
56,Response to frost (non-woody tissue),4.09,resistant,-,-,
57,Response to frost (seedlings),4.1,resistant,-,-,
58,Life-form,5.01,hemicryptophyte,-,-,
59,Longevity of stems (yrs),5.02,10-100,-,-,
60,Longevity of stems (yrs),5.02,2-10,-,-,
61,Age at first flowering,5.03,1-2 yrs,-,-,
62,Age at first flowering,5.03,2-5 yrs,-,-,
63,Mono/poly-carpic,5.04,polycarpic,-,-,
64,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
65,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
66,Flowering time: 1. earliest month,5.07,6,-,-,
67,Flowering time: 2. latest month,5.08,8,-,-,
68,Flowering time: 3. peak month,5.09,6,-,-,
69,Flowering time: 3. peak month,5.09,7,-,-,
70,Pollen vector,5.15,insect,-,-,
71,Dicliny,5.16,hermaphrodite,-,-,
72,Dichogamy,5.17,homogamous,-,-,
73,Fertilization,5.19,obligatory cross,-,-,
74,Cleistogamy,5.2,cleistogamy not recorded,-,-,
75,Chromosome number(s): 1. number,5.25,10,,-,
76,2C DNA content (pg),5.26,7.50,2n=10,,
77,Appendages on dispersal unit,5.27,pappus,-,-,
78,Time of seed dispersal (season),5.28,summer,-,-,
79,Annual seed dispersal,5.29,regular,-,-,
80,Seed size - length of longest axis (mm),5.31,6.0,"achene, excluding beak and pappus",-,
81,Seed weight: 1. maximum (mg),5.32,2.79,-,-,
82,Seed weight: 2. minimum (mg),5.33,1.34,-,-,
83,Seed weight: 3. mean (mg),5.34,1.45,,,
84,Seed weight: 3. mean (mg),5.34,1.5,-,-,
85,Seed production: 1. maximum (/flower),5.35,272,achenes/capitulum,-,
86,Seed production: 2. typical range (/flower),5.36,100-1000,achenes/capitulum,-,
87,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
88,Dispersal agent,5.38,wind,-,-,
89,Time of germination (season),5.39,autumn,-,-,
90,Time of germination (season),5.39,spring,-,-,
91,After-ripening requirement,5.4,none,-,-,
92,Maximum temperature of germination,5.41,20,-,-,
93,Germination requirements 1. chilling,5.45,none,-,-,
94,Germination requirements 2. light,5.46,none,-,-,
95,Germination requirements 3. temperature fluctuation,5.47,none,-,-,
96,Germination type,5.48,epigeal,-,-,
97,Seed viability,5.49,some non-viable,-,-,
98,Normal method of propagation,5.52,seed and vegetative,-,-,
99,Flower colour,5.58,yellow,,,
100,Petal no,5.59,5,many,flowers mistaken for petals,
101,Petal (sepal) size (cm),5.6,,,ligulate,
102,Stigma number,5.61,2,,,
103,Stamen number,5.62,5,,fused into a tube,
104,Sepal number,5.63,0,many,sepaloid phyllaries,
105,Carpel/Style number,5.64,1,,,
106,Inflorescence type,5.65,capitulum,,"solitary, scapigerous",
107,Response to vertebrate grazing,6.01,decreases,-,-,
108,Physical defences on leaves,6.02,stiff hairs,-,-,
109,Conservation Status,7.01,Vulnerable,,,
110,Rarity Status,7.02,Rare,,,
111,Change Index,7.03,-0.10,,,
112,Biome,7.04,Temperate,,,
113,Eastern Limit,7.05,Euro-Siberian,,,
114,Continentality,7.06,Continental,,,
115,Northern Limit in Britain,7.07,No,,,
116,"Northern European Limit (Lat,5C band)",7.08,>65,,,
117,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
118,Southern European Limit,7.1,No,,,
119,January mean temperature,7.11,3.9,,,
120,July mean temperature,7.12,16,,,
