,Name,Number,Value,Modifier,Notes,Subspecies
74,Seed size - length of longest axis (mm),5.31,3.0,achene,,
75,Seed weight: 3. mean (mg),5.34,0.4,fruit,,
76,Seed weight: 3. mean (mg),5.34,0.711,,,
77,Seed production: 2. typical range (/flower),5.36,10-100,-,,
78,Dispersal agent,5.38,wind,-,,
79,Dispersal agent,5.38,wind,-,,
80,Time of germination (season),5.39,spring,-,,
81,Germination type,5.48,epigeal,-,,
82,Normal method of propagation,5.52,seed,-,,
83,Normal method of propagation,5.52,vegetative,-,,
84,Seedbank type,5.53,"seedbank present, type uncertain",-,,
85,Seedbank type,5.53,transient,-,,
86,Maximum seedbank density (m2),5.54,10,-,,
87,Minimum seedbank density (m2),5.55,10,-,,
88,Mean seedbank density (m2),5.56,10,-,,
89,Flower colour,5.58,white,,,
90,Petal no,5.59,8,,,
91,Petal (sepal) size (cm),5.6,1.2,0.7-1.7,,
92,Stigma number,5.61,20,15-25,,
93,Stamen number,5.62,numerous,,,
94,Sepal number,5.63,8,,,
95,Carpel/Style number,5.64,numerous,,,
96,Inflorescence type,5.65,solitary,,axillary,
97,Response to vertebrate grazing,6.01,decreases,-,,
98,Response to vertebrate grazing,6.01,decreases,-,,
99,Physical defences on leaves,6.02,glabrous,upper epidermis,,
100,Physical defences on leaves,6.02,soft hairs,lower epidermis,,
101,Physical defences on flowers/fruits,6.04,glandular hairs,sepals,,
102,Rarity Status,7.02,Scarce,,,
103,Change Index,7.03,-0.35,,,
104,Biome,7.04,Arctic Montane,,,
105,Eastern Limit,7.05,Circumpolar,,,
106,Continentality,7.06,Not continental,,,
107,Northern Limit in Britain,7.07,No,,,
108,"Northern European Limit (Lat,5C band)",7.08,>65,,,
109,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
110,Southern European Limit,7.1,No,,,
111,January mean temperature,7.11,2.1,,,
112,July mean temperature,7.12,12,,,
113,Annual precipitation,7.13,1734,,,
114,Ellenberg Indicator: Light,7.14,8,,,
115,Ellenberg : Moisture,7.15,4,,,
116,Ellenberg: pH,7.16,7,,,
117,Ellenberg Indicator: Nitrogen,7.17,2,,,
118,Ellenberg Indicator: Salt,7.18,0,,,
119,Life Form: normal state,7.19,Chamaephyte,,,
120,Clonality: normal state,7.21,Extensively creeping and rooting at nodes,,,
