id,species
920003333,Celastrus orbiculatus
920003298,Cenchrus echinatus
1691381530,Centaurea aspera
1691381480,Centaurea calcitrapa
1691382200,Centaurea cyanus
1691381870,Centaurea nigra
1691381630,Centaurea diluta
920003334,Centaurea macrocephala
1691381590,Centaurea melitensis
1691382100,Centaurea montana
1691380490,Centaurea scabiosa
1691381570,Centaurea solstitialis
920000442,Centaurea x moncktonii = C. nigra x C. jacea
1400040020,Centaurium erythraea
1400040050,Centaurium littorale
1400040010,Centaurium scilloides
1400040110,Centaurium pulchellum
1400040120,Centaurium tenuiflorum
1660050070,Centranthus calcitrapae
1660050010,Centranthus ruber
2030030010,Cephalanthera damasonium
2030030020,Cephalanthera longifolia
2030030050,Cephalanthera rubra
920004425,Cephalaria gigantea
570090260,Cerastium alpinum
570090270,Cerastium nigrescens
570090271,cerastium_arcticum_subsp_edmondstonii
570090220,Cerastium arvense
570090490,Cerastium diffusum
570090430,Cerastium brachypetalum
570090010,Cerastium cerastoides
570090380,Cerastium fontanum
570090440,Cerastium glomeratum
570090480,Cerastium pumilum
570090470,Cerastium semidecandrum
570090120,Cerastium tomentosum
920005389,Cerastium x maueri Cerastium arvense x tomentosum
660100010,Ceratocapnos claviculata
920003095,Ceratochloa brevis
920000261,Ceratochloa cathartica
920007217,Ceratochloa marginata
920003073,Ceratochloa staminea
600010010,Ceratophyllum demersum
600010020,Ceratophyllum submersum
920003335,Chaenomeles japonica
920007218,Chaenomeles speciosa
1540130100,Chaenorhinum minus
1540130010,Chaenorhinum origanifolium
1290120110,Chaerophyllum aureum
1290120070,Chaerophyllum hirsutum
1290120120,Chaerophyllum temulum
280020010,Chamaecyparis lawsoniana
920002970,Chamaecyparis pisifera
1690590010,Chamaemelum nobile
1230050018,Chamerion angustifolium
1270010050,Cornus suecica
1690610018,Matricaria recutita
1690610038,Matricaria discoidea
920007221,Chasmanthe bicolor
680260010,Erysimum cheiri
660060010,Chelidonium majus
480030210,Chenopodium album
480030041,Chenopodium ambrosioides
920000483,Chenopodium berlandieri
480030060,Chenopodium bonus-henricus
480030110,Chenopodium chenopodioides
920007992,Chenopodium bushianum
920000486,Chenopodium capitatum
920007994,Dysphania cristata
920000494,Chenopodium pratericola
480030170,Chenopodium ficifolium
480030250,Chenopodium giganteum
480030090,Chenopodium glaucum
920000489,Chenopodium hircinum
480030120,Chenopodium hybridum
7996,Dysphania multifida
480030160,Chenopodium murale
920007997,Chenopodium nitrariaceum
480030200,Chenopodium opulifolium
480030130,Chenopodium polyspermum
920004426,Chenopodium probstii
480030050,Dysphania pumilio
480030100,Chenopodium rubrum
480030230,Chenopodium strictum
480030240,Chenopodium suecicum
480030150,Chenopodium urbicum
480030140,Chenopodium vulvaria
920007846,Chenopodium x bontei = C. carinatum x C. cristatum
570030560,Minuartia sedoides
920007224,Scilla forbesii
920003338,Scilla luciliae
920007225,Scilla sardensis
920003243,Chloris divaricata
920003242,Chloris truncata
920003244,Chloris virgata
920008001,Choisya ternata
1690660020,Glebionis coronaria
1690810010,Leucanthemum vulgare
1690690110,Tanacetum parthenium
1690660010,Glebionis segetum
1690690010,Tanacetum vulgare
810570420,Trifolium aureum
810570440,Trifolium campestre
810570460,Trifolium dubium
810570470,Trifolium micranthum
920007226,Chrysocoma coma-aurea
920008003,Chrysocoma tenuifolia
730030010,Chrysosplenium alternifolium
730030030,Chrysosplenium oppositifolium
1400010010,Cicendia filiformis
810480010,Cicer arietinum
1691700010,Cicerbita alpina
920002531,Cicerbita bourgaei
1691700020,Cicerbita macrophylla
1691700030,Cicerbita plumieri
1691460010,Cichorium intybus
1290630010,Cicuta virosa
1230020030,Circaea alpina
1230020010,Circaea lutetiana
1230020020,Circaea x intermedia
1691180440,Cirsium acaule
1691180600,Cirsium arvense
1691180300,Cirsium dissectum
1691180150,Cirsium eriophorum
1691180350,Cirsium erisithales
1691180470,Cirsium heterophyllum
1691180400,Cirsium oleraceum
1691180570,Cirsium palustre
1691180320,Cirsium tuberosum
1691180280,Cirsium vulgare
1170040010,Citrullus lanatus
1990080010,Cladium mariscus
920008008,Clarkia amoena
920008009,Clarkia unguiculata
550020020,Claytonia perfoliata
550020030,Claytonia sibirica
610170010,Clematis flammula
920000527,Clematis montana
920007229,Clematis tangutica
610170020,Clematis vitalba
610170070,Clematis viticella
4479,Cochlearia acaulis
680630020,Cochlearia officinalis
680630070,Cochlearia anglica
680630010,Cochlearia danica
680620100,Cochlearia megalosperma
680630036,Cochlearia micacea
680630038,Cochlearia pyrenaica
