species|Leaf shape: 5. leaf base|First historical record: 1. date|After-ripening requirement|Root depth: 1. type|Root persistence|Stomata: 1. surfaces present|Sepal number|Range: 3. continents where native|Range: 2. european countries where introduced|Age at first flowering|Incompatibility systems|Photosynthetic pathway|Vegetative reproduction/persistence: 2. pattern|Ellenberg: Temperature|Soil pH: 2. extreme minimum|Leaf lamina thickness: 1. range|Seed viability|Drought Tolerance|Height: 4. typical minimum (cm)|Chromosome number(s): 1. number|Maximum seedbank density (m2)|Change Index|Heteromorphy|Flow|Soil moisture: 3. supply|Lemma|Minimum temperature germination|Ellenberg: Continetality|Seed/ovule ratio|Cleistogamy|Dispersal agent|Height: 2. extreme minimum (cm)|Response to vertebrate grazing|Soil moisture: 1. water table|Normal method of propagation|Stomata: 3. density on upper surface (no/mm2)|Mono/poly-carpic|Longevity of stems (yrs)|Seedbank type|Petal no|Dynamics|Max. Stem Diameter (mm)|Pollen viability|Leaf shape: 6. petiole|Flowering time: 2. latest month|Germination requirements 3. temperature fluctuation|Petal (sepal) size (cm)|Mature leaf N concentration (mg/g)|rgr|Ellenberg Indicator: Salt|Altitude: 1. maximum recorded (m)|Seed production: 2. typical range (/flower)|Pollen vector|Status|Life Form: normal state|Soil pH: 1. extreme maximum|Exposure|Southern European Limit (Latitude, 5C band)|Response to drought|Ellenberg Indicator: Light|Northern Limit in Britain|Ellenberg Indicator: Nitrogen|Annual seed dispersal|Continentality|Dispersule size - length of longest axis (mm)|Nutrition|Stems: 2. support|Height: 3. typical maximum (cm)|Seed weight: 1. maximum (mg)|Minimum temperature at which 50% seeds germinate|Seedbank density: recorded values|Time of seed dispersal (season)|Water pH: 4. typical minimum|EW Index|Life-form|First historical record: 2. site|Leaf shape: 8. maximum petiole length (mm)|Ellenberg: pH|Inflorescence type|Ellenberg : Moisture|number of European countries in which native|July mean temperature|Heterophylly|Fine root diameter (um)|Altitude: 2. minimum recorded (m)|Leaf longevity: 2. number of months|Maximum depth of leaves|Maximum temperature of germination|2C DNA content (pg)|SN Index|British distribution (post 1949 records)|Seedbank longevity|Germination requirements 2. light|Mean seedbank density (m2)|Vegetative reproduction/persistence: 1. method|Dicliny|Germination type|Fertilization|Clonality: normal state|Rarity Status|Seed production: 1. maximum (/flower)|Mature leaf P concentration (mg/g)|Fossil record: 1. earliest record|Root hairs|Leaf shape: 1. type|Stamen number|Leaf shape: 4. length versus breadth|Root depth: 2. depth (cm)|Glume, upper|Photoperiodism: 1. type|Maximum temperature at which 50% seeds germinate|Conservation Status|Pollen: 1. mono/di-morphic|Heavy metal resistance|Life Form: less frequent state|Seedling growth rate - maximum (/d)|Physical defences on leaves|Medicinal Use|Response to frost (non-woody tissue)|Physical defences on stems|Leaf position|Southern European Limit|Flower colour|Time of germination (season)|Clonality: less frequent state|Auricle|Water nutrients|Seed production: 3. typical range (/plant)|Mean Spore Diameter (Pteridophytes) (µ m )|Soil pH: 4. typical minimum|Northern European Limit (Lat,5C band)|Stomata: 2. density on lower surface(no/mm2)|Flowering time: 1. earliest month|Water pH: 3. typical maximum|Leaf folding|Pollen: 2. diameter (um)|Spread|Germination requirements 1. chilling|Leaf area (cm2)|Carpel/Style number|Waterlogging tolerance|Response to frost (seedlings)|Water pH: 2. extreme minimum|Physical defences on flowers/fruits|Soil nutrients|Glume lower|Pollen/ovule ratio|Seed size - length of longest axis (mm)|Stomata 4: density, surface indeterminate (no/mm2)|Water pH: 1. extreme maximum|Mean plant dry mass(mg)|Leaf shape: 2. outline|Appendages on dispersal unit|Leaf shape: 7. minimum petiole length (mm)|Stigma number|Leaf shape: 3. pointed/round|Carnivory|Range: 4. continents where introduced|Height 5: Mean (cm)|Soil pH: 3. typical maximum|Photoperiodism: 2. threshold value (h)|Altitude: 4. typical minimum (m)|Palea|Leaf longevity: 1. type|Shade|Annual precipitation|Seed weight: 3. mean (mg)|Seed weight: 2. minimum (mg)|January mean temperature|Ligule|Flowering time: 3. peak month|Stems: 1. woodiness|Root hair length (mm)|Root system|Height: 1. extreme maximum (cm)|Minimum seedbank density (m2)|Shade tolerance|Range: 1. european countries where native|Dichogamy|Inbreeding (%)|Rgr max|Biome|Soil moisture: 2. drainage|Physical defences on buds|Salinity|Typical abundance where naturally occurring|Fossil record: 2. earliest postglacial record|Eastern Limit|id
homogyne_alpina|nan|1813|nan|nan|nan|nan|0|Europe|nan|nan|none|C3|patch-forming|3, 4|nan|nan|nan|nan|10|120, 160|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|<1|transient|5|nan|nan|nan|nan|8|nan|nan|nan|nan|0, 0, 0|600|nan|insect|naturalised|Hemicryptophyte|nan|nan|<45|nan|5x, 6, 6|Yes|2, 2, 2|nan|Not continental|12|autotrophic|self-supporting|30|nan|nan|nan|nan|nan|nan|geophyte|Angus|nan|3, 4, 4|capitulum|6, 6, 6|11|11|nan|nan|600|nan|nan|nan|nan|nan|nan|nan|nan|nan|rhizomes, stolons|gynomonoecious|nan|normally cross|Rhizome far creeping|Rare|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|Endangered|nan|none|nan|nan|nan|nan|nan|nan|nan|No|nan|nan|nan|nan|nan|nan|nan|nan|55-60|nan|5|nan|nan|nan|nan|nan|10-100|1|nan|nan|nan|nan|nan|nan|nan|4.5|nan|nan|nan|nan|pappus|nan|2|nan|does not kill insects|nan|nan|nan|nan|nan|nan|nan|light, none|1417|0.946|nan|-1|nan|nan|non-woody|nan|nan|nan|nan|nan|nan|markedly protandrous|nan|nan|Boreo-Arctic Montane|nan|nan|nan|nan|nan|European|1690910010
honckenya_peploides|parallel-sided|1570|nan|nan|nan|both|5|Europe, North America|nan|nan|none|C3|patch-forming|nan|nan|nan|nan|nan|5|66, 68 - 70|nan|-0.58|nan|nan|nan|nan|nan|nan|nan|nan|water|nan|nan|nan|vegetative|nan|nan|<1|nan|5|nan|nan|nan|sessile|8|nan|0.4|nan|nan|3|nan|1-10|insect, wind|native|Hemicryptophyte|nan|nan|<45|nan|9|No|6|nan|Not continental|3.5|autotrophic|decumbent|25|nan|nan|nan|nan|nan|5.65|hemicryptophyte|nan|0|7|solitary|5|17|14|none|nan|0|nan|nan|nan|8.66|4.85|nan|nan|nan|nan|rhizomes, stolons|dioecious, hermaphrodite|nan|cross or automatic self|Little or no vegetative spread|Present|nan|nan|nan|nan|simple|10|1-3 times as long as wide|nan|nan|nan|nan|nan|nan|none|nan|nan|glabrous|nan|nan|nan|nan|No|white|spring, summer|nan|nan|nan|nan|nan|nan|>65|nan|5|nan|nan|nan|height < width|partial|0.1-1|3|nan|nan|nan|nan|fertile, very fertile|nan|nan|3.5|nan|nan|nan|entire|nan|0|3|pointed|does not kill insects|nan|nan|nan|nan|0|nan|nan|none|1130|13.7, 8.993|nan|4.3|nan|nan|non-woody|nan|nan|nan|nan|nan|nan|protandrous|nan|nan|Wide Boreal|nan|nan|saline|dominant|nan|Circumpolar|570040010
hordelymus_europaeus|parallel-sided|1666|nan|nan|nan|both|0|Africa, Europe|nan|nan|nan|C3|patch-forming|5, 5|nan|nan|nan|nan|40|28|nan|0.12|nan|nan|nan|0.9|nan|4|nan|nan|nan|nan|nan|nan|seed|79|nan|<1|transient|0|declining|nan|nan|sheathing|7|nan|0|nan|nan|0, 0, 0|nan|nan|wind|native|Hemicryptophyte|nan|nan|<45|nan|3, 4, 6|No|6, 6, 7|nan|Not continental|nan|autotrophic|self-supporting|120|7|nan|nan|nan|nan|3.29|hemicryptophyte|Petersfield, Hants.|0|7, 7, 7|spike|4, 5, 5|20|15.5|none|nan|nan|nan|nan|nan|nan|2.38|93|nan|nan|nan|nan|andromonoecious|nan|nan|Tussock forming graminoid|Scarce|nan|nan|nan|nan|simple|3|>3 times as long as wide|nan|1.55|nan|nan|nan|nan|none|nan|nan|glabrous, soft hairs|nan|nan|nan|nan|No|green|nan|nan|nan|nan|nan|nan|nan|60-65|5|6|nan|nan|nan|height = width|nan|10-100|2|nan|nan|nan|nan|fertile, infertile|1.55|nan|nan|nan|nan|nan|entire, entire|nan|0|2|pointed|does not kill insects|nan|nan|nan|nan|nan|0.9|nan|deep, mid|788|4.16, 6.86|4|3.2|0.1|nan|non-woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|Temperate|nan|nan|nan|frequent|nan|European|1930580010
hordeum_distichon|parallel-sided|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1.05|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|sheathing|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|spicate raceme|nan|nan|nan|none|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|simple|3|>3 times as long as wide|nan|0.45|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|green|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|0.45|nan|nan|nan|nan|nan|nan|nan|nan|2|pointed|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|40.9|nan|nan|0.15|nan|non woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1930570020
hordeum_distichon_sl|parallel-sided|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|sheathing|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|none|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|simple|3|>3 times as long as wide|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|green|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|pointed|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|non woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|9204368
hordeum_euclaston|parallel-sided|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|sheathing|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|spicate raceme|nan|nan|nan|none|nan|nan|nan|nan|nan|6.85|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|simple|3|>3 times as long as wide|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|green|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.85, 2|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|2|pointed|nan|nan|nan|nan|nan|nan|0.65|nan|nan|nan|nan|nan|nan|0.1|nan|non woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920003137
hordeum_geniculatum|parallel-sided|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.7|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|sheathing|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|none|nan|nan|nan|nan|nan|10.80, 21.55|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|simple|3|>3 times as long as wide|nan|1.7|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|green|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|1.7|nan|nan|nan|nan|nan|nan|nan|nan|2|pointed|nan|nan|nan|nan|nan|nan|0.7|nan|nan|nan|nan|nan|nan|0.1|nan|non woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920009181
hordeum_murinum|parallel-sided|1548|absolute, none|nan|nan|both|0|Africa, Asia, Europe|nan|nan|none|C3|no ramets|7, 7|nan|nan|high|nan|20|14|nan|-0.04|nan|nan|nan|0.95|nan|nan|nan|some cleistogamous flowers|nan|nan|nan|nan|seed|62|nan|<1|short-term persistent|0|nan|nan|nan|sheathing|7|nan|0|nan|1.18|0, 0, 1|nan|nan|wind|native|Therophyte|nan|nan|nan|nan|8, 8, 8|No|5, 6, 6|nan|Not continental|nan|autotrophic|self-supporting|60|nan|nan|nan|autumn, summer|nan|3.83|therophyte|nan|0|7, 7, 7|spicate raceme|4, 4, 4|26|16|none|nan|0|nan|nan|33|11.1, 22.2, 29.85|2.24|nan|nan|none|nan|none|andromonoecious|nan|normally self|Little or no vegetative spread|nan|nan|nan|nan|nan|simple|3|>3 times as long as wide|nan|2.6|long-day, short-day|nan|nan|nan|none|nan|0.251|glabrous, soft hairs|nan|nan|nan|nan|No Data|green|autumn, summer|nan|narrow, spreading|nan|nan|nan|nan|nan|58|6|nan|nan|52.8|height = width|nan|1-10|2|nan|nan|nan|nan|very fertile|2.6|nan|6|nan|nan|nan|entire, entire|nan|0|2|pointed|does not kill insects|Australasia, North America, South America|nan|nan|nan|0|0.95|nan|none|817|1.93, 11, 16.6, 3.9, 5.4|nan|3.8|0.1|nan|non-woody|nan|fibrous|nan|nan|nan|nan|nan|nan|1.76|Southern Temperate|nan|nan|nan|frequent|nan|Euro-Siberian|1930570040
hordeum_jubatum|parallel-sided|nan|nan|nan|nan|both|0|North America|nan|nan|nan|C3|no ramets|6, 6|nan|nan|nan|nan|nan|28|714|nan|nan|nan|nan|0.55|nan|nan|nan|nan|nan|nan|nan|nan|seed|120|nan|<1|seedbank present, type uncertain, short-term persistent, transient|0|increasing|nan|nan|sheathing|9|nan|0|nan|nan|2, 2, 3|nan|nan|wind|naturalised|Hemicryptophyte|nan|nan|nan|nan|9, 9, 9|No|6, 6, 6|nan|Not continental|nan|autotrophic|self-supporting|60|nan|nan|nan|nan|nan|3.21|therophyte|nan|0|7, 7, 7|spicate raceme|5, 6, 6|nan|15|none|nan|nan|nan|nan|nan|21.7, 21.70|3.18|nan|nan|none|227.5|none|hermaphrodite|nan|nan|Tussock forming graminoid|nan|nan|nan|nan|nan|simple|3|>3 times as long as wide|nan|5.75|nan|nan|nan|nan|none|nan|nan|soft hairs|nan|nan|nan|nan|No Data|green|nan|nan|nan|nan|316|nan|nan|nan|80|7|nan|nan|39|height > width|none|nan|2|nan|nan|nan|nan|fertile, infertile|5.75|nan|nan|nan|nan|3254.2|entire, entire|nan|0|2|pointed|does not kill insects|nan|nan|nan|nan|nan|nan|nan|none|800|0.1, 1.94|nan|3.5|0.35|nan|non-woody|nan|fibrous|nan|1|nan|nan|nan|nan|nan|Mediterranean|nan|nan|nan|frequent|nan|Hyperoceanic|1930570110
hordeum_marinum|parallel-sided|1688|nan|nan|nan|nan|0|Europe|nan|nan|nan|C3|no ramets|nan|nan|nan|nan|nan|5|14, 28|nan|-0.85|nan|nan|seasonal|0.7|nan|nan|nan|nan|water|nan|nan|nan|seed, seed|nan|nan|<1|nan|0|nan|nan|nan|sheathing|6|nan|0|nan|nan|4|nan|nan|wind|native|Therophyte|nan|nan|<45|nan|9|Yes|6|nan|Not continental|nan|autotrophic|self-supporting|60|nan|nan|nan|nan|nan|2.83|therophyte|nan|0|8|spicate raceme|6|18|16|none|nan|0|nan|nan|nan|11|1.27|70|nan|nan|nan|none|hermaphrodite|nan|nan|Little or no vegetative spread|Scarce|nan|nan|nan|nan|simple|3|>3 times as long as wide|nan|1.5|nan|nan|nan|nan|none|nan|nan|glabrous, soft hairs|nan|nan|nan|nan|No|green|autumn, spring|nan|nan|nan|nan|nan|nan|55-60|nan|6|nan|nan|nan|height = width|nan|1-10|2|nan|nan|nan|nan|infertile|1.5|nan|nan|nan|nan|nan|entire, entire|nan|0|2|pointed|does not kill insects|nan|nan|nan|nan|0|0.7|nan|none|720|5.38|nan|4.3|0.1|nan|non-woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|Mediterranean-Atlantic|nan|nan|brackish, saline|scattered|nan|Oceanic|1930570050
hordeum_murinum_subsp_glaucum|parallel-sided|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|sheathing|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|none|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|simple|nan|>3 times as long as wide|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|pointed|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|4.7|nan|nan|nan|nan|non woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|992
hordeum_murinum_subsp_leporinum|parallel-sided|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|8, nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|sheathing|nan|nan|nan|nan|nan|1, nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|8, nan|nan|6, nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|7, nan|nan|4, nan|nan|nan|none|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|simple|nan|>3 times as long as wide|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|pointed|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|6.84|nan|nan|nan|nan|non woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|9921
hordeum_murinum_subsp_murinum|parallel-sided|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|7, nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|sheathing|nan|nan|nan|nan|nan|1, nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|8, nan|nan|6, nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|7, nan|nan|4, nan|nan|nan|none|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|simple|nan|>3 times as long as wide|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|pointed|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|non woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920000992
hordeum_pubiflorum|parallel-sided|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.875|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|sheathing|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|spicate raceme|nan|nan|nan|none|nan|nan|nan|nan|nan|8.63|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|simple|3|>3 times as long as wide|nan|2.15|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|green|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan, 0.875, 2|nan|nan|nan|nan|nan|2.15|nan|nan|nan|nan|nan|nan|nan|nan|2|pointed|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|non woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920003140
hordeum_pusillum|parallel-sided|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|sheathing|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|40|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|spicate raceme|nan|nan|nan|none|nan|nan|nan|nan|nan|11.05|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|simple|3|>3 times as long as wide|nan|1.1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|green|nan|nan|falcate|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|1.1|nan|nan|nan|nan|nan|nan|nan|nan|2|pointed|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|3, 3.297|nan|nan|0.05|nan|non woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920003120
hordeum_secalinum|parallel-sided|1633|nan|nan|nan|nan|0|Africa, Europe|nan|nan|nan|C3|nan|nan|nan|nan|nan|nan|15|14, 28|500|-0.19|nan|nan|nan|0.75|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|<1|long-term persistent, transient|0|nan|nan|nan|sheathing|7|nan|0|nan|nan|1|nan|nan|wind|native|Hemicryptophyte|nan|nan|<45|nan|8|No|6|nan|Not continental|nan|autotrophic|self-supporting|70|nan|nan|nan|nan|nan|3.55|hemicryptophyte|nan|0|7|nan|6|19|16|none|nan|0|nan|nan|nan|22.4, 22.4|1.71|nan|nan|nan|202.5|nan|andromonoecious|nan|nan|Tussock forming graminoid|Present|nan|nan|nan|nan|simple|3|>3 times as long as wide|nan|0.5|nan|nan|nan|nan|none|nan|nan|glabrous, soft hairs|nan|nan|nan|nan|No|green|nan|nan|short, spreading|nan|nan|nan|nan|55-60|nan|6|nan|nan|nan|height = width|nan|1-10|2|nan|nan|nan|nan|infertile|0.5|nan|nan|nan|nan|nan|entire, entire|nan|0|2|pointed|does not kill insects|nan|nan|nan|nan|0|0.75|nan|none|742|4.19, 5.9644|nan|3.8|0.1|nan|non-woody|nan|fibrous|nan|5|nan|nan|nan|nan|nan|Temperate|nan|nan|brackish|frequent|nan|European|1930570100
hordeum_vulgare|parallel-sided|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|sheathing|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|spicate raceme|nan|nan|nan|none|nan|nan|nan|nan|nan|11.1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|simple|3|>3 times as long as wide|nan|0.45|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|green|nan|nan|falcate|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|0.45|nan|nan|nan|nan|nan|nan|nan|nan|2|pointed|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|41.8|nan|nan|0.15|nan|non woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1930570030
hornungia_petraea|not applicable|1690|absolute|shallow|nan|nan|4|Africa, Asia, Europe|nan|nan|none|C3|no ramets|nan|6.8|nan|high|nan|5|12|nan|0.31|nan|nan|seasonal|nan|nan|nan|nan|cleistogamy not recorded|unspecialised, wind|nan|nan|nan|seed|nan|nan|<1|nan|4|stable|nan|nan|petiolate|5|nan|0.075|nan|nan|0|487, 490|1-10|selfed|native|Therophyte|8.4|nan|<45|nan|9|No|1|nan|Not continental|0.8|autotrophic|self-supporting|15|nan|nan|nan|spring|nan|5.57|therophyte|Bristol|nan|8|raceme|2|24|15|none|nan|0|nan|nan|nan|0.34|2.63|40|nan|partial|nan|none|hermaphrodite|epigeal|normally self, normally self|Little or no vegetative spread|Scarce|4|nan|nan|nan|simple|6|>3 times as long as wide|0-10|nan|long-day|nan|nan|nan|none|nan|nan|glabrous, soft hairs|nan|very resistant|glabrous, soft hairs|nan|No|white|autumn|nan|nan|nan|100-1000|nan|nan|55-60|nan|1, 1|nan|nan|nan|height = width|partial|nan|1|nan|sensitive, very resistant|nan|nan|very infertile|nan|nan|0.8|nan|nan|nan|lobed|mucilage|nan|2|pointed|does not kill insects|nan|nan|nan|nan|nan|nan|nan|none|1161|0.21|nan|3.5|nan|nan|non-woody|nan|fibrous, tap root|nan|nan|nan|nan|homogamous|nan|nan|Temperate|free-draining|nan|nan|scattered|nan|European|680710010
